#    L    TT             EE             BB             TE          
     2    0.10714E+04    0.35417E-01   -0.31989E-03    0.28649E+01
     3    0.10137E+04    0.47971E-01   -0.25363E-03    0.32848E+01
     4    0.95857E+03    0.44663E-01   -0.23196E-03    0.31504E+01
     5    0.91690E+03    0.32400E-01   -0.12972E-03    0.27441E+01
     6    0.88793E+03    0.19721E-01   -0.14239E-03    0.22592E+01
     7    0.86908E+03    0.10982E-01   -0.15021E-03    0.18062E+01
     8    0.85746E+03    0.66188E-02   -0.20735E-03    0.14377E+01
     9    0.85154E+03    0.48935E-02   -0.19902E-03    0.11715E+01
    10    0.84994E+03    0.42104E-02   -0.18642E-03    0.10055E+01
    11    0.85149E+03    0.38076E-02   -0.26384E-03    0.92419E+00
    12    0.85599E+03    0.33140E-02   -0.21243E-03    0.90713E+00
    13    0.86218E+03    0.30092E-02   -0.19651E-03    0.93225E+00
    14    0.86988E+03    0.29001E-02   -0.14686E-03    0.98137E+00
    15    0.87875E+03    0.30280E-02   -0.13364E-03    0.10417E+01
    16    0.88903E+03    0.32913E-02   -0.12007E-03    0.11063E+01
    17    0.90010E+03    0.37452E-02   -0.19379E-03    0.11706E+01
    18    0.91158E+03    0.42015E-02   -0.15525E-03    0.12335E+01
    19    0.92456E+03    0.48003E-02   -0.10957E-03    0.12976E+01
    20    0.93785E+03    0.56214E-02   -0.12153E-03    0.13635E+01
    21    0.95161E+03    0.65602E-02   -0.84061E-04    0.14317E+01
    22    0.96576E+03    0.76330E-02   -0.19966E-04    0.15022E+01
    23    0.98031E+03    0.88907E-02    0.15657E-04    0.15739E+01
    24    0.99526E+03    0.10303E-01    0.52233E-04    0.16446E+01
    25    0.10106E+04    0.11915E-01    0.47070E-04    0.17129E+01
    26    0.10262E+04    0.13691E-01    0.40754E-04    0.17773E+01
    27    0.10422E+04    0.15608E-01    0.60002E-04    0.18355E+01
    28    0.10583E+04    0.17683E-01    0.95835E-04    0.18858E+01
    29    0.10749E+04    0.19939E-01    0.13274E-03    0.19273E+01
    30    0.10917E+04    0.22407E-01    0.15132E-03    0.19611E+01
    31    0.11087E+04    0.25080E-01    0.17076E-03    0.19870E+01
