#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10714E+04    0.35093E-01    0.00000E+00    0.28649E+01    0.52614E-07    0.31491E-02   -0.13323E-04
     3    0.10137E+04    0.47709E-01    0.00000E+00    0.32848E+01    0.63897E-07    0.31473E-02   -0.14744E-04
     4    0.95855E+03    0.44418E-01    0.00000E+00    0.31504E+01    0.73599E-07    0.30728E-02   -0.13110E-04
     5    0.91688E+03    0.32250E-01    0.00000E+00    0.27441E+01    0.82019E-07    0.29697E-02   -0.97431E-05
     6    0.88791E+03    0.19551E-01    0.00000E+00    0.22592E+01    0.89357E-07    0.28566E-02   -0.57776E-05
     7    0.86904E+03    0.10795E-01    0.00000E+00    0.18062E+01    0.95810E-07    0.27424E-02   -0.21124E-05
     8    0.85742E+03    0.63637E-02    0.00000E+00    0.14377E+01    0.10152E-06    0.26315E-02    0.66849E-06
     9    0.85149E+03    0.46348E-02    0.00000E+00    0.11715E+01    0.10660E-06    0.25261E-02    0.23056E-05
    10    0.84988E+03    0.39509E-02    0.00000E+00    0.10055E+01    0.11112E-06    0.24268E-02    0.28258E-05
    11    0.85141E+03    0.34560E-02    0.00000E+00    0.92422E+00    0.11518E-06    0.23350E-02    0.24684E-05
    12    0.85590E+03    0.29977E-02    0.00000E+00    0.90716E+00    0.11879E-06    0.22484E-02    0.15802E-05
    13    0.86208E+03    0.26915E-02    0.00000E+00    0.93230E+00    0.12205E-06    0.21688E-02    0.51586E-06
    14    0.86976E+03    0.26132E-02    0.00000E+00    0.98143E+00    0.12495E-06    0.20930E-02   -0.44036E-06
    15    0.87862E+03    0.27341E-02    0.00000E+00    0.10418E+01    0.12758E-06    0.20218E-02   -0.11124E-05
    16    0.88888E+03    0.29894E-02    0.00000E+00    0.11064E+01    0.12993E-06    0.19535E-02   -0.14355E-05
    17    0.89993E+03    0.33467E-02    0.00000E+00    0.11707E+01    0.13202E-06    0.18884E-02   -0.14407E-05
    18    0.91139E+03    0.38173E-02    0.00000E+00    0.12336E+01    0.13390E-06    0.18266E-02   -0.12259E-05
    19    0.92436E+03    0.44362E-02    0.00000E+00    0.12978E+01    0.13559E-06    0.17685E-02   -0.91529E-06
    20    0.93762E+03    0.52184E-02    0.00000E+00    0.13637E+01    0.13708E-06    0.17128E-02   -0.61792E-06
    21    0.95136E+03    0.61663E-02    0.00000E+00    0.14319E+01    0.13840E-06    0.16600E-02   -0.40673E-06
    22    0.96549E+03    0.72735E-02    0.00000E+00    0.15024E+01    0.13958E-06    0.16098E-02   -0.31666E-06
    23    0.98001E+03    0.85357E-02    0.00000E+00    0.15741E+01    0.14061E-06    0.15623E-02   -0.34971E-06
    24    0.99494E+03    0.99518E-02    0.00000E+00    0.16448E+01    0.14151E-06    0.15176E-02   -0.47744E-06
    25    0.10102E+04    0.11525E-01    0.00000E+00    0.17132E+01    0.14229E-06    0.14750E-02   -0.64993E-06
