#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10714E+04    0.28649E+01    0.12856E-02    0.28649E+01    0.35093E-01   -0.54393E-05    0.12856E-02   -0.54393E-05    0.87689E-08
     3    0.10137E+04    0.32848E+01    0.90855E-03    0.32848E+01    0.47709E-01   -0.42563E-05    0.90855E-03   -0.42563E-05    0.53248E-08
     4    0.95855E+03    0.31504E+01    0.68711E-03    0.31504E+01    0.44418E-01   -0.29316E-05    0.68711E-03   -0.29316E-05    0.36800E-08
     5    0.91688E+03    0.27441E+01    0.54219E-03    0.27441E+01    0.32250E-01   -0.17788E-05    0.54219E-03   -0.17788E-05    0.27340E-08
     6    0.88791E+03    0.22592E+01    0.44078E-03    0.22592E+01    0.19551E-01   -0.89151E-06    0.44078E-03   -0.89151E-06    0.21275E-08
     7    0.86904E+03    0.18062E+01    0.36647E-03    0.18062E+01    0.10795E-01   -0.28229E-06    0.36647E-03   -0.28229E-06    0.17109E-08
     8    0.85742E+03    0.14377E+01    0.31013E-03    0.14377E+01    0.63637E-02    0.78783E-07    0.31013E-03    0.78783E-07    0.14100E-08
     9    0.85149E+03    0.11715E+01    0.26627E-03    0.11715E+01    0.46348E-02    0.24303E-06    0.26627E-03    0.24303E-06    0.11844E-08
    10    0.84988E+03    0.10055E+01    0.23139E-03    0.10055E+01    0.39509E-02    0.26943E-06    0.23139E-03    0.26943E-06    0.10102E-08
    11    0.85141E+03    0.92422E+00    0.20324E-03    0.92422E+00    0.34560E-02    0.21484E-06    0.20324E-03    0.21484E-06    0.87260E-09
    12    0.85590E+03    0.90716E+00    0.18002E-03    0.90716E+00    0.29977E-02    0.12651E-06    0.18002E-03    0.12651E-06    0.76148E-09
    13    0.86208E+03    0.93230E+00    0.16076E-03    0.93230E+00    0.26915E-02    0.38238E-07    0.16076E-03    0.38238E-07    0.67061E-09
    14    0.86976E+03    0.98143E+00    0.14443E-03    0.98143E+00    0.26132E-02   -0.30388E-07    0.14443E-03   -0.30388E-07    0.59502E-09
    15    0.87862E+03    0.10418E+01    0.13051E-03    0.10418E+01    0.27341E-02   -0.71804E-07    0.13051E-03   -0.71804E-07    0.53157E-09
    16    0.88888E+03    0.11064E+01    0.11845E-03    0.11064E+01    0.29894E-02   -0.87039E-07    0.11845E-03   -0.87039E-07    0.47769E-09
    17    0.89993E+03    0.11707E+01    0.10795E-03    0.11707E+01    0.33467E-02   -0.82357E-07    0.10795E-03   -0.82357E-07    0.43144E-09
    18    0.91139E+03    0.12336E+01    0.98771E-04    0.12336E+01    0.38173E-02   -0.66287E-07    0.98771E-04   -0.66287E-07    0.39153E-09
    19    0.92436E+03    0.12978E+01    0.90724E-04    0.12978E+01    0.44362E-02   -0.46953E-07    0.90724E-04   -0.46953E-07    0.35682E-09
    20    0.93762E+03    0.13637E+01    0.83577E-04    0.13637E+01    0.52184E-02   -0.30152E-07    0.83577E-04   -0.30152E-07    0.32638E-09
    21    0.95136E+03    0.14319E+01    0.77228E-04    0.14319E+01    0.61663E-02   -0.18923E-07    0.77228E-04   -0.18923E-07    0.29957E-09
    22    0.96549E+03    0.15024E+01    0.71564E-04    0.15024E+01    0.72735E-02   -0.14077E-07    0.71564E-04   -0.14077E-07    0.27585E-09
    23    0.98001E+03    0.15741E+01    0.66497E-04    0.15741E+01    0.85357E-02   -0.14885E-07    0.66497E-04   -0.14885E-07    0.25473E-09
    24    0.99494E+03    0.16448E+01    0.61956E-04    0.16448E+01    0.99518E-02   -0.19491E-07    0.61956E-04   -0.19491E-07    0.23584E-09
    25    0.10102E+04    0.17132E+01    0.57854E-04    0.17132E+01    0.11525E-01   -0.25492E-07    0.57854E-04   -0.25492E-07    0.21891E-09
    26    0.10258E+04    0.17777E+01    0.54120E-04    0.17777E+01    0.13259E-01   -0.30775E-07    0.54120E-04   -0.30775E-07    0.20365E-09
    27    0.10418E+04    0.18360E+01    0.50722E-04    0.18360E+01    0.15160E-01   -0.34237E-07    0.50722E-04   -0.34237E-07    0.18985E-09
    28    0.10579E+04    0.18862E+01    0.47631E-04    0.18862E+01    0.17233E-01   -0.35706E-07    0.47631E-04   -0.35706E-07    0.17734E-09
    29    0.10745E+04    0.19278E+01    0.44811E-04    0.19278E+01    0.19486E-01   -0.35404E-07    0.44811E-04   -0.35404E-07    0.16596E-09
    30    0.10912E+04    0.19617E+01    0.42213E-04    0.19617E+01    0.21931E-01   -0.33651E-07    0.42213E-04   -0.33651E-07    0.15558E-09
    31    0.11082E+04    0.19877E+01    0.39815E-04    0.19877E+01    0.24582E-01   -0.31010E-07    0.39815E-04   -0.31010E-07    0.14608E-09
    32    0.11254E+04    0.20058E+01    0.37611E-04    0.20058E+01    0.27449E-01   -0.28336E-07    0.37611E-04   -0.28336E-07    0.13737E-09
    33    0.11429E+04    0.20151E+01    0.35589E-04    0.20151E+01    0.30538E-01   -0.26388E-07    0.35589E-04   -0.26388E-07    0.12937E-09
    34    0.11605E+04    0.20171E+01    0.33716E-04    0.20171E+01    0.33853E-01   -0.25383E-07    0.33716E-04   -0.25383E-07    0.12200E-09
    35    0.11784E+04    0.20109E+01    0.31976E-04    0.20109E+01    0.37402E-01   -0.25054E-07    0.31976E-04   -0.25054E-07    0.11520E-09
    36    0.11965E+04    0.19953E+01    0.30361E-04    0.19953E+01    0.41194E-01   -0.25084E-07    0.30361E-04   -0.25084E-07    0.10892E-09
    37    0.12148E+04    0.19697E+01    0.28864E-04    0.19697E+01    0.45235E-01   -0.25378E-07    0.28864E-04   -0.25378E-07    0.10309E-09
    38    0.12333E+04    0.19343E+01    0.27470E-04    0.19343E+01    0.49531E-01   -0.25913E-07    0.27470E-04   -0.25913E-07    0.97686E-10
    39    0.12520E+04    0.18884E+01    0.26170E-04    0.18884E+01    0.54083E-01   -0.26442E-07    0.26170E-04   -0.26442E-07    0.92662E-10
    40    0.12708E+04    0.18310E+01    0.24955E-04    0.18310E+01    0.58895E-01   -0.26654E-07    0.24955E-04   -0.26654E-07    0.87986E-10
    41    0.12900E+04    0.17611E+01    0.23818E-04    0.17611E+01    0.63977E-01   -0.26353E-07    0.23818E-04   -0.26353E-07    0.83626E-10
    42    0.13092E+04    0.16796E+01    0.22752E-04    0.16796E+01    0.69334E-01   -0.25789E-07    0.22752E-04   -0.25789E-07    0.79555E-10
    43    0.13287E+04    0.15870E+01    0.21752E-04    0.15870E+01    0.74973E-01   -0.25258E-07    0.21752E-04   -0.25258E-07    0.75749E-10
    44    0.13482E+04    0.14821E+01    0.20814E-04    0.14821E+01    0.80893E-01   -0.24784E-07    0.20814E-04   -0.24784E-07    0.72185E-10
    45    0.13681E+04    0.13639E+01    0.19934E-04    0.13639E+01    0.87103E-01   -0.24332E-07    0.19934E-04   -0.24332E-07    0.68845E-10
