# l                Dl               -dDl             +dDl             
  2.00000000e+00   2.25895000e+02   1.32369000e+02   5.33062000e+02
  3.00000000e+00   9.36920000e+02   4.50471000e+02   1.21230800e+03
  4.00000000e+00   6.92238000e+02   2.94111000e+02   6.66469000e+02
  5.00000000e+00   1.50170500e+03   5.74432000e+02   1.15580400e+03
  6.00000000e+00   5.57611000e+02   2.01242000e+02   3.75763000e+02
  7.00000000e+00   1.15264300e+03   3.81584000e+02   6.70824000e+02
  8.00000000e+00   6.15846000e+02   1.91997000e+02   3.23446000e+02
  9.00000000e+00   6.97821000e+02   2.14638000e+02   3.49581000e+02
  1.00000000e+01   8.03658000e+02   2.32846000e+02   3.67945000e+02
  1.10000000e+01   8.69580000e+02   2.40260000e+02   3.71043000e+02
  1.20000000e+01   7.64074000e+02   2.04951000e+02   3.10576000e+02
  1.30000000e+01   5.99003000e+02   1.58593000e+02   2.35581000e+02
  1.40000000e+01   8.08139000e+02   1.99370000e+02   2.90751000e+02
  1.50000000e+01   1.02211100e+03   2.43487000e+02   3.49700000e+02
  1.60000000e+01   6.21292000e+02   1.50977000e+02   2.15798000e+02
  1.70000000e+01   1.03537800e+03   2.36167000e+02   3.32095000e+02
  1.80000000e+01   6.74593000e+02   1.56341000e+02   2.16872000e+02
  1.90000000e+01   9.51642000e+02   2.11554000e+02   2.90997000e+02
  2.00000000e+01   6.59863000e+02   1.44780000e+02   1.97637000e+02
  2.10000000e+01   6.01924000e+02   1.36050000e+02   1.85258000e+02
  2.20000000e+01   6.05295000e+02   1.31698000e+02   1.77041000e+02
  2.30000000e+01   7.48519000e+02   1.55938000e+02   2.08700000e+02
  2.40000000e+01   8.50496000e+02   1.75600000e+02   2.33216000e+02
  2.50000000e+01   8.14268000e+02   1.69433000e+02   2.24306000e+02
  2.60000000e+01   8.23803000e+02   1.64398000e+02   2.15355000e+02
  2.70000000e+01   1.00402200e+03   1.90293000e+02   2.47879000e+02
  2.80000000e+01   1.14988900e+03   2.15090000e+02   2.79078000e+02
  2.90000000e+01   9.79567000e+02   1.83071000e+02   2.36655000e+02
  3.00000000e+01   1.10280565e+03   2.74694273e+02   2.74694273e+02
  3.10000000e+01   7.64235896e+02   2.73967740e+02   2.73967740e+02
  3.20000000e+01   1.54385108e+03   2.73449299e+02   2.73449299e+02
  3.30000000e+01   1.07726738e+03   2.73099875e+02   2.73099875e+02
  3.40000000e+01   9.79159409e+02   2.72915809e+02   2.72915809e+02
  3.50000000e+01   7.39911555e+02   2.72870601e+02   2.72870601e+02
  3.60000000e+01   1.12251626e+03   2.72952096e+02   2.72952096e+02
  3.70000000e+01   1.52372049e+03   2.73164601e+02   2.73164601e+02
  3.80000000e+01   1.28591266e+03   2.73491129e+02   2.73491129e+02
  3.90000000e+01   1.24383149e+03   2.73908448e+02   2.73908448e+02
  4.00000000e+01   1.71507099e+03   2.74432309e+02   2.74432309e+02
  4.10000000e+01   1.42708779e+03   2.75039792e+02   2.75039792e+02
  4.20000000e+01   1.39108758e+03   2.75714328e+02   2.75714328e+02
  4.30000000e+01   1.23515157e+03   2.76448251e+02   2.76448251e+02
  4.40000000e+01   1.39971962e+03   2.77240421e+02   2.77240421e+02
  4.50000000e+01   1.05022476e+03   2.78115210e+02   2.78115210e+02
  4.60000000e+01   1.14897828e+03   2.79028999e+02   2.79028999e+02
  4.70000000e+01   1.93933290e+03   2.79951311e+02   2.79951311e+02
  4.80000000e+01   9.84327990e+02   2.80912792e+02   2.80912792e+02
  4.90000000e+01   1.72006610e+03   2.81925451e+02   2.81925451e+02
  5.00000000e+01   1.70730702e+03   2.82956791e+02   2.82956791e+02
  5.10000000e+01   1.03942852e+03   2.83993098e+02   2.83993098e+02
  5.20000000e+01   1.60361050e+03   2.85044233e+02   2.85044233e+02
  5.30000000e+01   1.11855429e+03   2.86148260e+02   2.86148260e+02
  5.40000000e+01   1.17386271e+03   2.87267431e+02   2.87267431e+02
  5.50000000e+01   1.60906096e+03   2.88393097e+02   2.88393097e+02
  5.60000000e+01   1.52329448e+03   2.89556623e+02   2.89556623e+02
  5.70000000e+01   1.71571938e+03   2.90769662e+02   2.90769662e+02
  5.80000000e+01   1.74261858e+03   2.92021980e+02   2.92021980e+02
  5.90000000e+01   1.46714325e+03   2.93295447e+02   2.93295447e+02
  6.00000000e+01   1.79045160e+03   2.94592236e+02   2.94592236e+02
  6.10000000e+01   1.35915415e+03   2.95952922e+02   2.95952922e+02
  6.20000000e+01   2.16522710e+03   2.97353776e+02   2.97353776e+02
  6.30000000e+01   1.74210583e+03   2.98829576e+02   2.98829576e+02
  6.40000000e+01   1.24248520e+03   3.00347925e+02   3.00347925e+02
  6.50000000e+01   1.85306150e+03   3.01918465e+02   3.01918465e+02
  6.60000000e+01   1.62661637e+03   3.03531851e+02   3.03531851e+02
  6.70000000e+01   1.65998919e+03   3.05191672e+02   3.05191672e+02
  6.80000000e+01   1.76642864e+03   3.06883106e+02   3.06883106e+02
  6.90000000e+01   2.27766406e+03   3.08612177e+02   3.08612177e+02
  7.00000000e+01   1.86080088e+03   3.10378689e+02   3.10378689e+02
  7.10000000e+01   1.78370715e+03   3.12174729e+02   3.12174729e+02
  7.20000000e+01   1.51190025e+03   3.14003729e+02   3.14003729e+02
  7.30000000e+01   2.70112709e+03   3.15856436e+02   3.15856436e+02
  7.40000000e+01   2.01369273e+03   3.17743906e+02   3.17743906e+02
  7.50000000e+01   1.87990931e+03   3.19649616e+02   3.19649616e+02
  7.60000000e+01   1.87545523e+03   3.21580850e+02   3.21580850e+02
  7.70000000e+01   1.91945593e+03   3.23540646e+02   3.23540646e+02
  7.80000000e+01   1.66460733e+03   3.25525051e+02   3.25525051e+02
  7.90000000e+01   1.49646853e+03   3.27537838e+02   3.27537838e+02
  8.00000000e+01   2.31810662e+03   3.29578505e+02   3.29578505e+02
  8.10000000e+01   2.04553573e+03   3.31640785e+02   3.31640785e+02
  8.20000000e+01   2.82142920e+03   3.33735134e+02   3.33735134e+02
  8.30000000e+01   2.13583446e+03   3.35851411e+02   3.35851411e+02
  8.40000000e+01   1.54266778e+03   3.37999830e+02   3.37999830e+02
  8.50000000e+01   2.26867460e+03   3.40170699e+02   3.40170699e+02
  8.60000000e+01   2.52592485e+03   3.42359180e+02   3.42359180e+02
  8.70000000e+01   2.18032949e+03   3.44568643e+02   3.44568643e+02
  8.80000000e+01   1.77461013e+03   3.46801199e+02   3.46801199e+02
  8.90000000e+01   2.93003972e+03   3.49061349e+02   3.49061349e+02
  9.00000000e+01   2.25550107e+03   3.51334248e+02   3.51334248e+02
  9.10000000e+01   2.41451603e+03   3.53628468e+02   3.53628468e+02
  9.20000000e+01   2.58201377e+03   3.55935659e+02   3.55935659e+02
  9.30000000e+01   2.81458993e+03   3.58270995e+02   3.58270995e+02
  9.40000000e+01   2.15376783e+03   3.60612030e+02   3.60612030e+02
  9.50000000e+01   2.15869964e+03   3.62982588e+02   3.62982588e+02
  9.60000000e+01   2.36799928e+03   3.65357768e+02   3.65357768e+02
  9.70000000e+01   2.66332976e+03   3.67750353e+02   3.67750353e+02
  9.80000000e+01   2.22254729e+03   3.70156291e+02   3.70156291e+02
  9.90000000e+01   3.01383617e+03   3.72583442e+02   3.72583442e+02
  1.00000000e+02   2.91908745e+03   3.75021104e+02   3.75021104e+02
  1.01000000e+02   2.78238348e+03   3.77469527e+02   3.77469527e+02
  1.02000000e+02   2.89676227e+03   3.79929188e+02   3.79929188e+02
  1.03000000e+02   2.62614993e+03   3.82408884e+02   3.82408884e+02
  1.04000000e+02   3.02925427e+03   3.84885921e+02   3.84885921e+02
  1.05000000e+02   2.26754847e+03   3.87384762e+02   3.87384762e+02
  1.06000000e+02   2.79225466e+03   3.89890838e+02   3.89890838e+02
  1.07000000e+02   3.32376585e+03   3.92403839e+02   3.92403839e+02
  1.08000000e+02   3.92724232e+03   3.94920694e+02   3.94920694e+02
  1.09000000e+02   3.03382038e+03   3.97441494e+02   3.97441494e+02
  1.10000000e+02   3.42938387e+03   3.99981102e+02   3.99981102e+02
  1.11000000e+02   2.91010496e+03   4.02514760e+02   4.02514760e+02
  1.12000000e+02   3.03935904e+03   4.05063917e+02   4.05063917e+02
  1.13000000e+02   2.33790275e+03   4.07603120e+02   4.07603120e+02
  1.14000000e+02   2.20915272e+03   4.10154844e+02   4.10154844e+02
  1.15000000e+02   3.34344611e+03   4.12711825e+02   4.12711825e+02
  1.16000000e+02   4.33715308e+03   4.15273551e+02   4.15273551e+02
  1.17000000e+02   4.45774454e+03   4.17833880e+02   4.17833880e+02
  1.18000000e+02   3.45702104e+03   4.20392604e+02   4.20392604e+02
  1.19000000e+02   3.13591290e+03   4.22951962e+02   4.22951962e+02
  1.20000000e+02   2.66967726e+03   4.25521347e+02   4.25521347e+02
  1.21000000e+02   4.12521641e+03   4.28068246e+02   4.28068246e+02
  1.22000000e+02   3.45049755e+03   4.30622985e+02   4.30622985e+02
  1.23000000e+02   4.11621935e+03   4.33169941e+02   4.33169941e+02
  1.24000000e+02   2.94881885e+03   4.35713738e+02   4.35713738e+02
  1.25000000e+02   3.27163900e+03   4.38258460e+02   4.38258460e+02
  1.26000000e+02   3.32406505e+03   4.40762781e+02   4.40762781e+02
  1.27000000e+02   3.71667835e+03   4.43295977e+02   4.43295977e+02
  1.28000000e+02   3.80463957e+03   4.45802649e+02   4.45802649e+02
  1.29000000e+02   2.89796020e+03   4.48297096e+02   4.48297096e+02
  1.30000000e+02   4.03231034e+03   4.50782758e+02   4.50782758e+02
  1.31000000e+02   3.24523913e+03   4.53252802e+02   4.53252802e+02
  1.32000000e+02   2.89149353e+03   4.55724877e+02   4.55724877e+02
  1.33000000e+02   3.88560051e+03   4.58167162e+02   4.58167162e+02
  1.34000000e+02   3.56018902e+03   4.60598713e+02   4.60598713e+02
  1.35000000e+02   4.31222189e+03   4.63034429e+02   4.63034429e+02
  1.36000000e+02   4.66922603e+03   4.65422806e+02   4.65422806e+02
  1.37000000e+02   4.06289976e+03   4.67811025e+02   4.67811025e+02
  1.38000000e+02   3.94639273e+03   4.70170377e+02   4.70170377e+02
  1.39000000e+02   4.21905142e+03   4.72515537e+02   4.72515537e+02
  1.40000000e+02   3.81506138e+03   4.74842418e+02   4.74842418e+02
  1.41000000e+02   4.20490825e+03   4.77129028e+02   4.77129028e+02
  1.42000000e+02   4.51526536e+03   4.79417256e+02   4.79417256e+02
  1.43000000e+02   4.75461564e+03   4.81665038e+02   4.81665038e+02
  1.44000000e+02   3.90232418e+03   4.83900358e+02   4.83900358e+02
  1.45000000e+02   4.27107492e+03   4.86107546e+02   4.86107546e+02
  1.46000000e+02   4.24171328e+03   4.88300959e+02   4.88300959e+02
  1.47000000e+02   4.69706435e+03   4.90453707e+02   4.90453707e+02
  1.48000000e+02   3.74189378e+03   4.92587085e+02   4.92587085e+02
  1.49000000e+02   3.38304414e+03   4.94691059e+02   4.94691059e+02
  1.50000000e+02   4.54783776e+03   4.96774992e+02   4.96774992e+02
  1.51000000e+02   4.22368455e+03   4.98819671e+02   4.98819671e+02
  1.52000000e+02   4.56611761e+03   5.00836763e+02   5.00836763e+02
  1.53000000e+02   4.56677496e+03   5.02827539e+02   5.02827539e+02
  1.54000000e+02   3.93942599e+03   5.04776935e+02   5.04776935e+02
  1.55000000e+02   5.32515156e+03   5.06704114e+02   5.06704114e+02
  1.56000000e+02   4.31459342e+03   5.08595396e+02   5.08595396e+02
  1.57000000e+02   4.62632873e+03   5.10451551e+02   5.10451551e+02
  1.58000000e+02   5.52417122e+03   5.12262026e+02   5.12262026e+02
  1.59000000e+02   4.67096912e+03   5.14051181e+02   5.14051181e+02
  1.60000000e+02   5.30857073e+03   5.15798516e+02   5.15798516e+02
  1.61000000e+02   4.69245703e+03   5.17513129e+02   5.17513129e+02
  1.62000000e+02   4.61596839e+03   5.19178724e+02   5.19178724e+02
  1.63000000e+02   4.33931266e+03   5.20818592e+02   5.20818592e+02
  1.64000000e+02   4.70825249e+03   5.22409985e+02   5.22409985e+02
  1.65000000e+02   4.77819802e+03   5.23967505e+02   5.23967505e+02
  1.66000000e+02   5.36462263e+03   5.25486283e+02   5.25486283e+02
  1.67000000e+02   5.61659426e+03   5.26951225e+02   5.26951225e+02
  1.68000000e+02   5.50245544e+03   5.28391398e+02   5.28391398e+02
  1.69000000e+02   4.51409669e+03   5.29769187e+02   5.29769187e+02
  1.70000000e+02   4.22091923e+03   5.31131866e+02   5.31131866e+02
  1.71000000e+02   4.60465923e+03   5.32421597e+02   5.32421597e+02
  1.72000000e+02   5.20659664e+03   5.33691301e+02   5.33691301e+02
  1.73000000e+02   5.13667061e+03   5.34903266e+02   5.34903266e+02
  1.74000000e+02   4.89427361e+03   5.36068491e+02   5.36068491e+02
  1.75000000e+02   5.07618020e+03   5.37194289e+02   5.37194289e+02
  1.76000000e+02   5.06903673e+03   5.38264322e+02   5.38264322e+02
  1.77000000e+02   4.66152742e+03   5.39299390e+02   5.39299390e+02
  1.78000000e+02   4.52506263e+03   5.40278899e+02   5.40278899e+02
  1.79000000e+02   6.34569516e+03   5.41210212e+02   5.41210212e+02
  1.80000000e+02   5.19770944e+03   5.42096329e+02   5.42096329e+02
  1.81000000e+02   3.90981996e+03   5.42931707e+02   5.42931707e+02
  1.82000000e+02   4.35146614e+03   5.43728314e+02   5.43728314e+02
  1.83000000e+02   4.64301895e+03   5.44471256e+02   5.44471256e+02
  1.84000000e+02   5.54549866e+03   5.45149887e+02   5.45149887e+02
  1.85000000e+02   6.39622412e+03   5.45795581e+02   5.45795581e+02
  1.86000000e+02   5.76926048e+03   5.46383889e+02   5.46383889e+02
  1.87000000e+02   5.15753951e+03   5.46922067e+02   5.46922067e+02
  1.88000000e+02   6.33646067e+03   5.47407712e+02   5.47407712e+02
  1.89000000e+02   6.28604526e+03   5.47834737e+02   5.47834737e+02
  1.90000000e+02   5.95538562e+03   5.48223033e+02   5.48223033e+02
  1.91000000e+02   5.39403967e+03   5.48542889e+02   5.48542889e+02
  1.92000000e+02   6.34473772e+03   5.48822543e+02   5.48822543e+02
  1.93000000e+02   5.89664940e+03   5.49054087e+02   5.49054087e+02
  1.94000000e+02   5.50500632e+03   5.49219525e+02   5.49219525e+02
  1.95000000e+02   4.03055156e+03   5.49347354e+02   5.49347354e+02
  1.96000000e+02   5.56500753e+03   5.49414324e+02   5.49414324e+02
  1.97000000e+02   5.59438968e+03   5.49447151e+02   5.49447151e+02
  1.98000000e+02   5.63354740e+03   5.49407661e+02   5.49407661e+02
  1.99000000e+02   5.31156809e+03   5.49315859e+02   5.49315859e+02
  2.00000000e+02   5.23838076e+03   5.49179835e+02   5.49179835e+02
  2.01000000e+02   4.88184835e+03   5.48981117e+02   5.48981117e+02
  2.02000000e+02   6.13844518e+03   5.48741922e+02   5.48741922e+02
  2.03000000e+02   5.67094312e+03   5.48429907e+02   5.48429907e+02
  2.04000000e+02   5.33187680e+03   5.48078811e+02   5.48078811e+02
  2.05000000e+02   6.15169986e+03   5.47674186e+02   5.47674186e+02
  2.06000000e+02   5.33449284e+03   5.47216470e+02   5.47216470e+02
  2.07000000e+02   5.04416844e+03   5.46702798e+02   5.46702798e+02
  2.08000000e+02   5.71921608e+03   5.46143849e+02   5.46143849e+02
