#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10579E+04    0.38579E-01    0.00000E+00    0.29894E+01    0.52091E-07    0.30756E-02   -0.13972E-04
     3    0.10010E+04    0.55426E-01    0.00000E+00    0.34939E+01    0.63208E-07    0.30784E-02   -0.15982E-04
     4    0.94595E+03    0.54361E-01    0.00000E+00    0.34044E+01    0.72761E-07    0.30089E-02   -0.14791E-04
     5    0.90391E+03    0.41399E-01    0.00000E+00    0.30065E+01    0.81047E-07    0.29101E-02   -0.11570E-04
     6    0.87437E+03    0.26011E-01    0.00000E+00    0.25021E+01    0.88265E-07    0.28004E-02   -0.73980E-05
     7    0.85491E+03    0.14481E-01    0.00000E+00    0.20111E+01    0.94611E-07    0.26885E-02   -0.32285E-05
     8    0.84275E+03    0.83075E-02    0.00000E+00    0.15953E+01    0.10022E-06    0.25792E-02    0.21763E-06
     9    0.83635E+03    0.59187E-02    0.00000E+00    0.12809E+01    0.10521E-06    0.24749E-02    0.25067E-05
    10    0.83435E+03    0.51164E-02    0.00000E+00    0.10726E+01    0.10966E-06    0.23768E-02    0.35068E-05
    11    0.83556E+03    0.45435E-02    0.00000E+00    0.95913E+00    0.11365E-06    0.22863E-02    0.33570E-05
    12    0.83972E+03    0.39962E-02    0.00000E+00    0.92083E+00    0.11721E-06    0.22022E-02    0.23822E-05
    13    0.84562E+03    0.33655E-02    0.00000E+00    0.93541E+00    0.12039E-06    0.21238E-02    0.10029E-05
    14    0.85293E+03    0.31468E-02    0.00000E+00    0.98039E+00    0.12325E-06    0.20507E-02   -0.38297E-06
    15    0.86155E+03    0.32498E-02    0.00000E+00    0.10409E+01    0.12581E-06    0.19817E-02   -0.14884E-05
    16    0.87134E+03    0.34464E-02    0.00000E+00    0.11059E+01    0.12811E-06    0.19154E-02   -0.21064E-05
    17    0.88217E+03    0.37631E-02    0.00000E+00    0.11688E+01    0.13018E-06    0.18521E-02   -0.22294E-05
    18    0.89323E+03    0.41155E-02    0.00000E+00    0.12273E+01    0.13203E-06    0.17918E-02   -0.19255E-05
    19    0.90582E+03    0.45692E-02    0.00000E+00    0.12844E+01    0.13368E-06    0.17345E-02   -0.13736E-05
    20    0.91868E+03    0.52517E-02    0.00000E+00    0.13411E+01    0.13514E-06    0.16796E-02   -0.76820E-06
    21    0.93197E+03    0.61206E-02    0.00000E+00    0.14001E+01    0.13644E-06    0.16274E-02   -0.26666E-06
    22    0.94570E+03    0.71787E-02    0.00000E+00    0.14628E+01    0.13759E-06    0.15779E-02    0.76223E-08
    23    0.95970E+03    0.84187E-02    0.00000E+00    0.15290E+01    0.13861E-06    0.15314E-02    0.25244E-07
    24    0.97410E+03    0.98039E-02    0.00000E+00    0.15978E+01    0.13949E-06    0.14878E-02   -0.19942E-06
