#    L    TT             EE             TE             PP             TP          
     2    0.10579E+04    0.38579E-01    0.29894E+01    0.10806E+07    0.28669E+05
     3    0.10010E+04    0.55426E-01    0.34939E+01    0.16595E+07    0.34241E+05
     4    0.94595E+03    0.54361E-01    0.34044E+01    0.21735E+07    0.36869E+05
     5    0.90391E+03    0.41399E-01    0.30065E+01    0.26269E+07    0.37911E+05
     6    0.87437E+03    0.26011E-01    0.25021E+01    0.30267E+07    0.38056E+05
     7    0.85491E+03    0.14481E-01    0.20111E+01    0.33809E+07    0.37684E+05
     8    0.84275E+03    0.83075E-02    0.15953E+01    0.36960E+07    0.37015E+05
     9    0.83635E+03    0.59187E-02    0.12809E+01    0.39777E+07    0.36186E+05
    10    0.83435E+03    0.51164E-02    0.10726E+01    0.42298E+07    0.35279E+05
    11    0.83556E+03    0.45435E-02    0.95913E+00    0.44571E+07    0.34362E+05
    12    0.83972E+03    0.39962E-02    0.92083E+00    0.46613E+07    0.33446E+05
    13    0.84562E+03    0.33655E-02    0.93541E+00    0.48450E+07    0.32544E+05
    14    0.85293E+03    0.31468E-02    0.98039E+00    0.50110E+07    0.31666E+05
    15    0.86155E+03    0.32498E-02    0.10409E+01    0.51611E+07    0.30804E+05
    16    0.87134E+03    0.34464E-02    0.11059E+01    0.52967E+07    0.29950E+05
    17    0.88217E+03    0.37631E-02    0.11688E+01    0.54194E+07    0.29110E+05
    18    0.89323E+03    0.41155E-02    0.12273E+01    0.55306E+07    0.28295E+05
    19    0.90582E+03    0.45692E-02    0.12844E+01    0.56310E+07    0.27503E+05
    20    0.91868E+03    0.52517E-02    0.13411E+01    0.57212E+07    0.26734E+05
    21    0.93197E+03    0.61206E-02    0.14001E+01    0.58023E+07    0.25991E+05
    22    0.94570E+03    0.71787E-02    0.14628E+01    0.58756E+07    0.25279E+05
    23    0.95970E+03    0.84187E-02    0.15290E+01    0.59415E+07    0.24603E+05
    24    0.97410E+03    0.98039E-02    0.15978E+01    0.60001E+07    0.23965E+05
    25    0.98889E+03    0.11360E-01    0.16667E+01    0.60522E+07    0.23355E+05
    26    0.10039E+04    0.13083E-01    0.17341E+01    0.60985E+07    0.22764E+05
    27    0.10193E+04    0.14956E-01    0.17956E+01    0.61395E+07    0.22194E+05
    28    0.10349E+04    0.16983E-01    0.18484E+01    0.61753E+07    0.21649E+05
    29    0.10508E+04    0.19163E-01    0.18921E+01    0.62064E+07    0.21121E+05
    30    0.10670E+04    0.21509E-01    0.19258E+01    0.62331E+07    0.20605E+05
    31    0.10833E+04    0.24053E-01    0.19498E+01    0.62557E+07    0.20104E+05
    32    0.10999E+04    0.26816E-01    0.19646E+01    0.62747E+07    0.19622E+05
    33    0.11168E+04    0.29801E-01    0.19709E+01    0.62902E+07    0.19159E+05
    34    0.11338E+04    0.33020E-01    0.19702E+01    0.63023E+07    0.18714E+05
    35    0.11510E+04    0.36474E-01    0.19630E+01    0.63113E+07    0.18287E+05
    36    0.11685E+04    0.40171E-01    0.19484E+01    0.63176E+07    0.17877E+05
    37    0.11860E+04    0.44114E-01    0.19249E+01    0.63212E+07    0.17484E+05
    38    0.12038E+04    0.48310E-01    0.18929E+01    0.63224E+07    0.17106E+05
    39    0.12218E+04    0.52751E-01    0.18513E+01    0.63212E+07    0.16741E+05
    40    0.12399E+04    0.57436E-01    0.17990E+01    0.63178E+07    0.16388E+05
    41    0.12584E+04    0.62367E-01    0.17346E+01    0.63125E+07    0.16044E+05
    42    0.12769E+04    0.67560E-01    0.16572E+01    0.63053E+07    0.15709E+05
    43    0.12956E+04    0.73030E-01    0.15662E+01    0.62963E+07    0.15384E+05
    44    0.13144E+04    0.78778E-01    0.14621E+01    0.62857E+07    0.15069E+05
    45    0.13335E+04    0.84816E-01    0.13450E+01    0.62736E+07    0.14764E+05
    46    0.13528E+04    0.91156E-01    0.12135E+01    0.62600E+07    0.14470E+05
    47    0.13723E+04    0.97790E-01    0.10688E+01    0.62451E+07    0.14186E+05
    48    0.13919E+04    0.10472E+00    0.91533E+00    0.62289E+07    0.13913E+05
    49    0.14115E+04    0.11191E+00    0.75686E+00    0.62116E+07    0.13648E+05
    50    0.14316E+04    0.11933E+00    0.59046E+00    0.61932E+07    0.13391E+05
    51    0.14518E+04    0.12696E+00    0.41166E+00    0.61738E+07    0.13143E+05
    52    0.14724E+04    0.13487E+00    0.21541E+00    0.61535E+07    0.12901E+05
